key,en,es
accessibility.add_favorite,Add to favorites,Añadir a favoritos
accessibility.available_nostr,Available via Nostr,Disponible vía Nostr
accessibility.back_to_main,Back to main chat,Volver al chat principal
accessibility.connected_mesh,Connected via mesh,Conectado por malla
accessibility.encryption_status,Encryption status: %@,Estado de cifrado: %@
accessibility.location_channels,location channels,canales de ubicación
accessibility.open_unread_private_chat,Open unread private chat,Abrir chat privado no leído
accessibility.people_count,accessibility.people_count,accessibility.people_count
accessibility.people_count.few,%d people,%d people
accessibility.people_count.many,%d people,%d people
accessibility.people_count.one,%d person,%d persona
accessibility.people_count.other,%d people,%d personas
accessibility.private_chat_with,Private chat with %@,Chat privado con %@
accessibility.remove_favorite,Remove from favorites,Quitar de favoritos
accessibility.send_message,Send message,Enviar mensaje
accessibility.send_message_hint_empty,Enter a message to send,Escribe un mensaje para enviar
accessibility.send_message_hint_ready,Double tap to send,Tocar dos veces para enviar
accessibility.toggle_favorite_hint,Double tap to toggle favorite status,Tocar dos veces para cambiar favorito
accessibility.view_fingerprint_hint,Tap to view encryption fingerprint,Toca para ver la huella de cifrado
action.screenshot.core,took a screenshot,tomó una captura de pantalla
action.screenshot.self,you took a screenshot,tomaste una captura de pantalla
actions.block,BLOCK,BLOQUEAR
actions.copy_message,Copy message,Copiar mensaje
actions.hug,hug,abrazo
actions.mention,mention,mencionar
actions.private_message,private message,message privé
actions.slap,slap,bofetada
actions.title,Actions,Acciones
actions.unblock,Unblock,Desbloquear
alert.bluetooth.off_message,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,Bluetooth está desactivado. Actívalo en Ajustes para usar bitchat.
alert.bluetooth.unauthorized_message,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,bitchat necesita permiso de Bluetooth para conectarse con dispositivos cercanos. Activa el acceso en Ajustes.
alert.bluetooth.unsupported_message,This device does not support Bluetooth. BitChat requires Bluetooth to function.,Este dispositivo no admite Bluetooth. bitchat requiere Bluetooth para funcionar.
alert.bluetooth_required,Bluetooth Required,Se requiere Bluetooth
appinfo.features.encryption.desc,private messages encrypted with noise protocol,mensajes privados cifrados con Noise
appinfo.features.encryption.title,end-to-end encryption,cifrado de extremo a extremo
appinfo.features.extended_range.desc,"messages relay through peers, going the distance",los mensajes se retransmiten entre pares
appinfo.features.extended_range.title,extended range,alcance étendu
appinfo.features.favorites.desc,get notified when your favorite people join,recibe avisos cuando se unan tus favoritos
appinfo.features.favorites.title,favorites,favoritos
appinfo.features.geohash.desc,geohash channels to chat with people in nearby regions over decentralized anonymous relays,canales geohash para chatear con gente cercana
appinfo.features.geohash.title,local channels,canales locales
appinfo.features.mentions.desc,use @nickname to notify specific people,usa @apodo para notificar
appinfo.features.mentions.title,mentions,menciones
appinfo.features.offline.desc,works without internet using Bluetooth low energy,funciona sin internet con Bluetooth Low Energy
