key,en,fr
accessibility.add_favorite,Add to favorites,Ajouter aux favoris
accessibility.available_nostr,Available via Nostr,Disponible via Nostr
accessibility.back_to_main,Back to main chat,Retour au chat principal
accessibility.connected_mesh,Connected via mesh,Connecté via maillage
accessibility.encryption_status,Encryption status: %@,État du chiffrement : %@
accessibility.location_channels,location channels,canaux de localisation
accessibility.open_unread_private_chat,Open unread private chat,Ouvrir une discussion privée non lue
accessibility.people_count,accessibility.people_count,accessibility.people_count
accessibility.people_count.few,%d people,%d people
accessibility.people_count.many,%d people,%d people
accessibility.people_count.one,%d person,%d personne
accessibility.people_count.other,%d people,%d personnes
accessibility.private_chat_with,Private chat with %@,Discussion privée avec %@
accessibility.remove_favorite,Remove from favorites,Retirer des favoris
accessibility.send_message,Send message,Envoyer le message
accessibility.send_message_hint_empty,Enter a message to send,Saisissez un message à envoyer
accessibility.send_message_hint_ready,Double tap to send,Touchez deux fois pour envoyer
accessibility.toggle_favorite_hint,Double tap to toggle favorite status,Touchez deux fois pour basculer le favori
accessibility.view_fingerprint_hint,Tap to view encryption fingerprint,Touchez pour voir l’empreinte de chiffrement
action.screenshot.core,took a screenshot,a pris une capture d’écran
action.screenshot.self,you took a screenshot,vous avez pris une capture d’écran
actions.block,BLOCK,BLOQUER
actions.copy_message,Copy message,Copier le message
actions.hug,hug,câlin
actions.mention,mention,mentionner
actions.private_message,private message,message privé
actions.slap,slap,gifle
actions.title,Actions,Actions
actions.unblock,Unblock,Débloquer
alert.bluetooth.off_message,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,Le Bluetooth est désactivé. Activez-le dans Réglages pour utiliser bitchat.
alert.bluetooth.unauthorized_message,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,bitchat a besoin de l’autorisation Bluetooth pour se connecter aux appareils à proximité. Activez l’accès dans Réglages.
alert.bluetooth.unsupported_message,This device does not support Bluetooth. BitChat requires Bluetooth to function.,Cet appareil ne prend pas en charge le Bluetooth. bitchat nécessite le Bluetooth pour fonctionner.
alert.bluetooth_required,Bluetooth Required,Bluetooth requis
appinfo.features.encryption.desc,private messages encrypted with noise protocol,messages privés chiffrés avec Noise
appinfo.features.encryption.title,end-to-end encryption,chiffrement de bout en bout
appinfo.features.extended_range.desc,"messages relay through peers, going the distance","messages relayés entre pairs, à plus grande distance"
appinfo.features.extended_range.title,extended range,portée étendue
appinfo.features.favorites.desc,get notified when your favorite people join,notification à l’arrivée de vos favoris
appinfo.features.favorites.title,favorites,favoris
appinfo.features.geohash.desc,geohash channels to chat with people in nearby regions over decentralized anonymous relays,canaux geohash pour discuter avec des personnes proches via des relais décentralisés
appinfo.features.geohash.title,local channels,canaux locaux
appinfo.features.mentions.desc,use @nickname to notify specific people,utilisez @pseudo pour notifier
appinfo.features.mentions.title,mentions,mentions
appinfo.features.offline.desc,works without internet using Bluetooth low energy,fonctionne sans internet via Bluetooth Low Energy
appinfo.features.offline.title,offline communication,communication hors ligne
appinfo.features.title,FEATURES,FONCTIONNALITÉS
appinfo.howto.bullet.clear,• triple-tap chat to clear,• triple touchez pour effacer
appinfo.howto.bullet.commands,• type / for commands,• tapez / pour les commandes
appinfo.howto.bullet.dm,• tap a peer's name to start a DM,• touchez un nom pour démarrer un MP
appinfo.howto.bullet.mesh,• tap #mesh to change channels,• touchez #mesh pour changer de canal
appinfo.howto.bullet.nickname,• set your nickname by tapping it,• touchez pour définir votre pseudo
appinfo.howto.bullet.sidebar,• tap people icon for sidebar,• touchez l’icône personnes pour la barre latérale
appinfo.howto.title,HOW TO USE,COMMENT UTILISER
appinfo.privacy.ephemeral.desc,new peer ID generated regularly,nouvel ID pair généré régulièrement
appinfo.privacy.ephemeral.title,ephemeral identity,identité éphémère
appinfo.privacy.no_tracking.desc,"no servers, accounts, or data collection","pas de serveurs, comptes ni collecte de données"
appinfo.privacy.no_tracking.title,no tracking,aucun suivi
appinfo.privacy.panic.desc,triple-tap logo to instantly clear all data,triple-touchez le logo pour tout effacer
appinfo.privacy.panic.title,panic mode,mode panique
appinfo.privacy.title,PRIVACY,CONFIDENTIALITÉ
appinfo.tagline,sidegroupchat,sidegroupchat
appinfo.warning.message,private message security has not yet been fully audited. do not use for critical situations until this warning disappears.,la sécurité des messages privés n’a pas encore été entièrement auditée. ne pas utiliser pour des situations critiques jusqu’à la disparition de cet avertissement.
appinfo.warning.title,WARNING,AVERTISSEMENT
channel.mesh,Mesh,Maillage
cmd.block.already,%@ is already blocked,%@ is already blocked
cmd.block.help,Block or list blocked peers. Usage: /block [nickname],Bloquer ou lister les bloqués. Utilisation : /block [pseudo]
cmd.block.list,blocked peers: %@ | geohash blocks: %@,blocked peers: %@ | geohash blocks: %@
cmd.block.not_found,cannot block %@: not found or unable to verify identity,cannot block %@: not found or unable to verify identity
cmd.block.success,blocked %@. you will no longer receive messages from them,blocked %@. you will no longer receive messages from them
cmd.block.success_geohash,blocked %@ in geohash chats,blocked %@ in geohash chats
cmd.block.title,Block,Bloquer
cmd.clear.help,Clear chat messages. Usage: /clear,Efface les messages. Utilisation : /clear
cmd.clear.title,Clear,Effacer
cmd.emote.not_found,cannot %@ %@: not found,cannot %@ %@: not found
cmd.emote.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.error.invalid,Invalid command,Invalid command
cmd.error.not_found,'%@' not found,'%@' not found
cmd.error.unknown_command,unknown command: %@,unknown command: %@
cmd.fav.added,added %@ to favorites,added %@ to favorites
