key,en,zh-Hans
accessibility.add_favorite,Add to favorites,加入收藏
accessibility.available_nostr,Available via Nostr,可通过 Nostr
accessibility.back_to_main,Back to main chat,返回主聊天
accessibility.connected_mesh,Connected via mesh,通过网状连接
accessibility.encryption_status,Encryption status: %@,加密状态：%@
accessibility.location_channels,location channels,位置频道
accessibility.open_unread_private_chat,Open unread private chat,打开未读私聊
accessibility.people_count,accessibility.people_count,accessibility.people_count
accessibility.people_count.few,%d people,%d people
accessibility.people_count.many,%d people,%d people
accessibility.people_count.one,%d person,%d 人
accessibility.people_count.other,%d people,%d 人
accessibility.private_chat_with,Private chat with %@,与 %@ 的私聊
accessibility.remove_favorite,Remove from favorites,从收藏移除
accessibility.send_message,Send message,发送消息
accessibility.send_message_hint_empty,Enter a message to send,输入要发送的消息
accessibility.send_message_hint_ready,Double tap to send,双击发送
accessibility.toggle_favorite_hint,Double tap to toggle favorite status,双击切换收藏状态
accessibility.view_fingerprint_hint,Tap to view encryption fingerprint,点按查看加密指纹
action.screenshot.core,took a screenshot,截了图
action.screenshot.self,you took a screenshot,你截了图
actions.block,BLOCK,屏蔽
actions.copy_message,Copy message,复制消息
actions.hug,hug,拥抱
actions.mention,mention,提及
actions.private_message,private message,私信
actions.slap,slap,拍一下
actions.title,Actions,操作
actions.unblock,Unblock,取消屏蔽
alert.bluetooth.off_message,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,蓝牙已关闭。请在“设置”中打开蓝牙以使用 bitchat。
alert.bluetooth.unauthorized_message,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,bitchat 需要蓝牙权限以连接附近设备。请在“设置”中启用蓝牙访问。
alert.bluetooth.unsupported_message,This device does not support Bluetooth. BitChat requires Bluetooth to function.,此设备不支持蓝牙。bitchat 需要蓝牙才能运行。
alert.bluetooth_required,Bluetooth Required,需要蓝牙
appinfo.features.encryption.desc,private messages encrypted with noise protocol,私信使用 Noise 协议加密
appinfo.features.encryption.title,end-to-end encryption,端到端加密
appinfo.features.extended_range.desc,"messages relay through peers, going the distance",消息通过节点中继，传得更远
appinfo.features.extended_range.title,extended range,扩展范围
appinfo.features.favorites.desc,get notified when your favorite people join,喜爱的人加入时提醒
appinfo.features.favorites.title,favorites,收藏
appinfo.features.geohash.desc,geohash channels to chat with people in nearby regions over decentralized anonymous relays,通过去中心化匿名中继的 geohash 频道
appinfo.features.geohash.title,local channels,本地频道
appinfo.features.mentions.desc,use @nickname to notify specific people,使用 @昵称 提醒特定用户
appinfo.features.mentions.title,mentions,提及
appinfo.features.offline.desc,works without internet using Bluetooth low energy,使用低功耗蓝牙，无需互联网
appinfo.features.offline.title,offline communication,离线通信
appinfo.features.title,FEATURES,功能
appinfo.howto.bullet.clear,• triple-tap chat to clear,• 三击聊天清除
appinfo.howto.bullet.commands,• type / for commands,• 输入 / 查看命令
appinfo.howto.bullet.dm,• tap a peer's name to start a DM,• 点按昵称开始私聊
appinfo.howto.bullet.mesh,• tap #mesh to change channels,• 点按 #mesh 切换频道
appinfo.howto.bullet.nickname,• set your nickname by tapping it,• 轻点设置你的昵称
appinfo.howto.bullet.sidebar,• tap people icon for sidebar,• 点按人员图标打开侧边栏
appinfo.howto.title,HOW TO USE,使用方法
appinfo.privacy.ephemeral.desc,new peer ID generated regularly,定期生成新的节点 ID
appinfo.privacy.ephemeral.title,ephemeral identity,临时身份
appinfo.privacy.no_tracking.desc,"no servers, accounts, or data collection",无服务器、账户或数据收集
appinfo.privacy.no_tracking.title,no tracking,不跟踪
appinfo.privacy.panic.desc,triple-tap logo to instantly clear all data,三击徽标立即清除所有数据
appinfo.privacy.panic.title,panic mode,紧急模式
appinfo.privacy.title,PRIVACY,隐私
appinfo.tagline,sidegroupchat,sidegroupchat
appinfo.warning.message,private message security has not yet been fully audited. do not use for critical situations until this warning disappears.,私信安全尚未完全审计。在此警告消失前请勿用于关键场景。
appinfo.warning.title,WARNING,警告
channel.mesh,Mesh,网状
cmd.block.already,%@ is already blocked,%@ is already blocked
cmd.block.help,Block or list blocked peers. Usage: /block [nickname],屏蔽或列出已屏蔽用户。用法：/block [昵称]
cmd.block.list,blocked peers: %@ | geohash blocks: %@,blocked peers: %@ | geohash blocks: %@
cmd.block.not_found,cannot block %@: not found or unable to verify identity,cannot block %@: not found or unable to verify identity
cmd.block.success,blocked %@. you will no longer receive messages from them,blocked %@. you will no longer receive messages from them
cmd.block.success_geohash,blocked %@ in geohash chats,blocked %@ in geohash chats
cmd.block.title,Block,屏蔽
