key,en,localized,comment,status
accessibility.add_favorite,Add to favorites,Add to favorites,Screen reader label: Add to favorites,needs_review
accessibility.available_nostr,Available via Nostr,Available via Nostr,Screen reader label: Available via Nostr,needs_review
accessibility.back_to_main,Back to main chat,Back to main chat,Screen reader label: Back to main chat,needs_review
accessibility.bookmark_toggle,Toggle bookmark for #%@,Toggle bookmark for #%@,Screen reader label: Toggle bookmark for #%@,needs_review
accessibility.bookmark_toggle_geohash,Toggle bookmark for #%@,Toggle bookmark for #%@,Screen reader label: Toggle bookmark for #%@,needs_review
accessibility.connected_mesh,Connected via mesh,Connected via mesh,Screen reader label: Connected via mesh,needs_review
accessibility.connected_via_mesh,Connected via mesh,Connected via mesh,Screen reader label: Connected via mesh,needs_review
accessibility.double_tap_to_send,Double tap to send,Double tap to send,Accessibility hint when input has content,needs_review
accessibility.encryption_status_dynamic,Encryption status: %@,Encryption status: %@,Screen reader description of encryption security level Includes placeholders: %@,needs_review
accessibility.encryption_status_secured,secured,secured,Screen reader announcement: secured,needs_review
accessibility.encryption_status_unencrypted,not encrypted,not encrypted,Screen reader announcement: not encrypted,needs_review
accessibility.encryption_status_verified,verified,verified,Screen reader announcement: verified,needs_review
accessibility.enter_message_to_send,Enter a message to send,Enter a message to send,Accessibility hint when input is empty,needs_review
accessibility.favorite_toggle,Double tap to toggle favorite status,Double tap to toggle favorite status,Screen reader label: Double tap to toggle favorite status,needs_review
accessibility.favorite_toggle_hint,Double tap to toggle favorite status,Double tap to toggle favorite status,Screen reader label: Double tap to toggle favorite status,needs_review
accessibility.fingerprint_hint,Tap to view encryption fingerprint,Tap to view encryption fingerprint,Screen reader label: Tap to view encryption fingerprint,needs_review
accessibility.fingerprint_tap_hint,Tap to view encryption fingerprint,Tap to view encryption fingerprint,Screen reader label: Tap to view encryption fingerprint,needs_review
accessibility.location_channels,location channels,location channels,Screen reader label: location channels,needs_review
accessibility.mesh_connected,Connected via mesh,Connected via mesh,Screen reader label: Connected via mesh,needs_review
accessibility.mesh_reachable,Reachable via mesh,Reachable via mesh,Screen reader label: Reachable via mesh,needs_review
accessibility.open_unread_private_chat,Open unread private chat,Open unread private chat,Screen reader label: Open unread private chat,needs_review
accessibility.people_count (plural:one),%d person,%d person,Screen reader count announcement with proper plural forms Includes placeholders: %d,translated
accessibility.people_count (plural:other),%d people,%d people,Screen reader count announcement with proper plural forms Includes placeholders: %d,translated
accessibility.private_chat_hint,Tap to view encryption fingerprint,Tap to view encryption fingerprint,Screen reader label: Tap to view encryption fingerprint,needs_review
accessibility.private_chat_with,Private chat with %@,Private chat with %@,Screen reader label: Private chat with %@,needs_review
accessibility.private_chat_with_user,Private chat with user,Private chat with,Base accessibility text for private chat - use with String.localizedStringWithFormat,needs_review
accessibility.remove_favorite,Remove from favorites,Remove from favorites,Screen reader label to remove a peer from favorites,needs_review
accessibility.send_message,Send message,Send message,Screen reader label for send message button,needs_review
accessibility.verification_help,Verification: show my QR or scan a friend,Verification: show my QR or scan a friend,Screen reader label: Verification: show my QR or scan a friend,needs_review
actions.block,BLOCK,ブロック,Button to block/ban a user from chat,translated
actions.copy_message,Copy message,Copy message,Button label: Copy message,needs_review
actions.hug,hug,hug,Fun social action - send virtual hug to another user,needs_review
actions.mention,mention,メンション,Action to mention/tag another user in a message,translated
actions.pay_cashu,pay via cashu,pay via cashu,Button label for Cashu token link,needs_review
actions.pay_lightning,pay via lightning,pay via lightning,Button label for Lightning payment link,needs_review
actions.private_message,direct message,direct message,Action to start a private/direct message with someone,needs_review
actions.slap,slap,slap,Fun social action - playful slap with trout (internet meme),needs_review
actions.title,Actions,Actions,Action label: Actions,needs_review
alert.bluetooth_off,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,Error message when Bluetooth is disabled system-wide,needs_review
alert.bluetooth_required,Bluetooth Required,Bluetoothが必要,Alert title when Bluetooth permission is needed,translated
alert.bluetooth_unauthorized,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,Error message when app lacks Bluetooth permission,needs_review
alert.bluetooth_unsupported,This device does not support Bluetooth. BitChat requires Bluetooth to function.,This device does not support Bluetooth. BitChat requires Bluetooth to function.,Error message when device lacks Bluetooth hardware,needs_review
alert.heads_up,heads up,heads up,App text: heads up,needs_review
alert.screenshot_warning,screenshots of location channels will reveal your location. think before sharing publicly.,screenshots of location channels will reveal your location. think before sharing publicly.,App text: screenshots of location channels will reveal your location. think before sharing publicly.,needs_review
app.title_prefix,bitchat/,bitchat/,App text: bitchat/,needs_review
appinfo.features.encryption.desc,private messages encrypted with noise protocol,private messages encrypted with noise protocol,App text: private messages encrypted with noise protocol,needs_review
appinfo.features.encryption.title,end-to-end encryption,end-to-end encryption,App text: end-to-end encryption,needs_review
appinfo.features.extended_range.desc,"messages relay through peers, going the distance","messages relay through peers, going the distance","App text: messages relay through peers, going the distance",needs_review
appinfo.features.extended_range.title,extended range,extended range,App text: extended range,needs_review
appinfo.features.favorites.desc,get notified when your favorite people join,get notified when your favorite people join,App text: get notified when your favorite people join,needs_review
appinfo.features.favorites.title,favorites,favorites,App text: favorites,needs_review
appinfo.features.geohash.desc,geohash channels to chat with people in nearby regions over decentralized anonymous relays,geohash channels to chat with people in nearby regions over decentralized anonymous relays,App text: geohash channels to chat with people in nearby regions over decentralized anonymous relays,needs_review
appinfo.features.geohash.title,local channels,local channels,App text: local channels,needs_review
appinfo.features.mentions.desc,use @nickname to notify specific people,use @nickname to notify specific people,App text: use @nickname to notify specific people,needs_review
appinfo.features.mentions.title,mentions,mentions,App text: mentions,needs_review
appinfo.features.offline.desc,works without internet using Bluetooth low energy,works without internet using Bluetooth low energy,App text: works without internet using Bluetooth low energy,needs_review
appinfo.features.offline.title,offline communication,offline communication,App text: offline communication,needs_review
appinfo.features.title,FEATURES,FEATURES,App text: FEATURES,needs_review
appinfo.howto.clear_chat,• triple-tap chat to clear,• triple-tap chat to clear,How-to instruction bullet,needs_review
appinfo.howto.commands,• type / for commands,• type / for commands,How-to instruction bullet with / token,needs_review
appinfo.howto.open_sidebar,• tap people icon for sidebar,• tap people icon for sidebar,How-to instruction bullet,needs_review
appinfo.howto.set_nickname,• set your nickname by tapping it,• set your nickname by tapping it,How-to instruction bullet,needs_review
appinfo.howto.start_dm,• tap a peer's name to start a DM,• tap a peer's name to start a DM,How-to instruction bullet,needs_review
appinfo.howto.tap_mesh,• tap #mesh to change channels,• tap #mesh to change channels,How-to instruction bullet with #mesh token,needs_review
appinfo.howto.title,HOW TO USE,HOW TO USE,App text: HOW TO USE,needs_review
appinfo.instructions.change_channels,• tap #mesh to change channels,• tap #mesh to change channels,App text: • tap #mesh to change channels,needs_review
appinfo.instructions.clear,• triple-tap chat to clear,• triple-tap chat to clear,App text: • triple-tap chat to clear,needs_review
appinfo.instructions.commands,• type / for commands,• type / for commands,App text: • type / for commands,needs_review
appinfo.instructions.dm,• tap a peer's name to start a DM,• tap a peer's name to start a DM,App text: • tap a peer's name to start a DM,needs_review
appinfo.instructions.set_nickname,• set your nickname by tapping it,• set your nickname by tapping it,App text: • set your nickname by tapping it,needs_review
appinfo.instructions.sidebar,• tap people icon for sidebar,• tap people icon for sidebar,App text: • tap people icon for sidebar,needs_review
appinfo.privacy.ephemeral.desc,new peer ID generated regularly,new peer ID generated regularly,App text: new peer ID generated regularly,needs_review
appinfo.privacy.ephemeral.title,ephemeral identity,ephemeral identity,App text: ephemeral identity,needs_review
appinfo.privacy.no_tracking.desc,"no servers, accounts, or data collection","no servers, accounts, or data collection","App text: no servers, accounts, or data collection",needs_review
appinfo.privacy.no_tracking.title,no tracking,no tracking,App text: no tracking,needs_review
